Project;SampleID;ID;Host;Date;Country;Bioregion;Coordinates_x;Coordinates_y;Source;Material;Type;Sampling;ReedID;Investigator
Anna;R00101MP;1437190;Osmia_bicornis;20.05.16;Germany;Central Frankonia;49.546.435;10.060.665;bee nest;pollen provision;pollens;surface;211;Anna
Anna;R00105MP;1437190;Osmia_bicornis;20.05.16;Germany;Central Frankonia;49.546.435;10.060.665;bee nest;pollen provision;pollens;surface;222;Anna
Anna;R00603MP;1437190;Osmia_bicornis;12.05.16;Germany;Central Frankonia;49.773.836;100.021;bee nest;pollen provision;pollens;surface;226;Anna
Anna;R00701MP;1437190;Osmia_bicornis;19.05.16;Germany;Central Frankonia;500.965.266;992.133;bee nest;pollen provision;pollens;surface;227;Anna
Anna;R00705MP;1437190;Osmia_bicornis;19.05.16;Germany;Central Frankonia;500.965.266;992.133;bee nest;pollen provision;pollens;surface;228;Anna
Anna;R00901MP;1437190;Osmia_bicornis;19.05.16;Germany;Central Frankonia;500.550.383;98.000.533;bee nest;pollen provision;pollens;surface;229;Anna
Anna;R00904MP;1437190;Osmia_bicornis;19.05.16;Germany;Central Frankonia;500.550.383;98.000.533;bee nest;pollen provision;pollens;surface;230;Anna
Anna;R01001MP;1437190;Osmia_bicornis;19.05.16;Germany;Central Frankonia;50.107.105;98.780.933;bee nest;pollen provision;pollens;surface;231;Anna
Anna;R01003MP;1437190;Osmia_bicornis;19.05.16;Germany;Central Frankonia;50.107.105;98.780.933;bee nest;pollen provision;pollens;surface;212;Anna
Anna;R01203MP;1437190;Osmia_bicornis;25.05.16;Germany;Central Frankonia;49.778.423;10.257.827;bee nest;pollen provision;pollens;surface;213;Anna
Anna;R01402MP;1437190;Osmia_bicornis;20.05.16;Germany;Central Frankonia;498.481.283;98.376.983;bee nest;pollen provision;pollens;surface;214;Anna
Anna;R01404MP;1437190;Osmia_bicornis;20.05.16;Germany;Central Frankonia;498.481.283;98.376.983;bee nest;pollen provision;pollens;surface;215;Anna
Anna;R09201MP;1190786;Megachile_versicolor;08.06.16;Germany;Central Frankonia;4.999.919;97.701.083;bee nest;pollen provision;pollens;surface;207;Anna
Anna;R09207MP;1190786;Megachile_versicolor;08.06.16;Germany;Central Frankonia;4.999.919;97.701.083;bee nest;pollen provision;pollens;surface;208;Anna
Anna;R09209MP;1190786;Megachile_versicolor;08.06.16;Germany;Central Frankonia;4.999.919;97.701.083;bee nest;pollen provision;pollens;surface;209;Anna
Anna;R10702MP;143995;Megachile_rotundata;04.09.16;Germany;Central Frankonia;500.965.266;992.133;bee nest;pollen provision;pollens;surface;206;Anna
Anna;R10703MP;143995;Megachile_rotundata;04.09.16;Germany;Central Frankonia;500.965.266;992.133;bee nest;pollen provision;pollens;surface;188;Anna
Anna;R10704MP;143995;Megachile_rotundata;04.09.16;Germany;Central Frankonia;500.965.266;992.133;bee nest;pollen provision;pollens;surface;189;Anna
Anna;R11201MP;586934;Osmia_caerulescens;27.06.16;Germany;Central Frankonia;496.631.732;10.121.865;bee nest;pollen provision;pollens;surface;232;Anna
Anna;R11303MP;586934;Osmia_caerulescens;27.06.16;Germany;Central Frankonia;496.631.732;10.121.865;bee nest;pollen provision;pollens;surface;233;Anna
Anna;R12701MP;143995;Megachile_rotundata;04.09.16;Germany;Central Frankonia;500.323.433;99.068.833;bee nest;pollen provision;pollens;surface;204;Anna
Anna;R13201MP;586934;Osmia_caerulescens;27.06.16;Germany;Central Frankonia;500.965.266;992.133;bee nest;pollen provision;pollens;surface;234;Anna
Anna;R13202MP;586934;Osmia_caerulescens;27.06.16;Germany;Central Frankonia;500.965.266;992.133;bee nest;pollen provision;pollens;surface;235;Anna
Anna;R13203MP;586934;Osmia_caerulescens;27.06.16;Germany;Central Frankonia;500.965.266;992.133;bee nest;pollen provision;pollens;surface;236;Anna
Anna;R13302MP;586934;Osmia_caerulescens;27.06.16;Germany;Central Frankonia;500.965.266;992.133;bee nest;pollen provision;pollens;surface;237;Anna
Anna;R13303MP;586934;Osmia_caerulescens;27.06.16;Germany;Central Frankonia;500.965.266;992.133;bee nest;pollen provision;pollens;surface;238;Anna
Anna;R13306MP;586934;Osmia_caerulescens;27.06.16;Germany;Central Frankonia;500.965.266;992.133;bee nest;pollen provision;pollens;surface;239;Anna
Anna;R15302MP;143995;Megachile rotundata;01.08.16;Germany;Central Frankonia;;;bee nest;pollen provision;pollens;surface;259;Anna
